Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,RGB LED with integrated controller,SK6805_1515,D1 D2 D3 D4 D5 D6 D7 D8 D9,SK6805_1515,LED_SK6812_EC15_1.5x1.5mm,9, ,https://datasheet.lcsc.com/lcsc/2108251530_OPSCO-Optoelectronics-SK6805-EC15_C2890035.pdf
2,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03_Female,J1,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Vertical,1, ,~
3,"Resistor, small symbol",R_Small,R1,500,R_0805_2012Metric,1, ,~





Project info:
Schematic:,design
Variant:,default
Revision:,<<version>>
Date:,<<date>>
KiCad Version:,6.0.11+dfsg-1
Statistics:
Component Groups:,3
Component Count:,11
Fitted Components:,11
Number of PCBs:,1
Total Components:,11
